,id,rating,release_date_cert
648,57876,R,2015-05-15 00:00:00+00:00
649,61891,PG-13,2011-10-28 00:00:00+00:00
650,77866,R,2012-01-13 00:00:00+00:00
651,157544,R,2015-07-24 00:00:00+00:00
652,296099,R,2015-07-29 00:00:00+00:00
653,84204,,2012-01-23 00:00:00+00:00
654,147441,PG-13,2014-12-12 00:00:00+00:00
655,78394,,2010-05-14 00:00:00+00:00
656,44945,R,2011-04-01 00:00:00+00:00
657,44945,R,2011-04-01 00:00:00+00:00
658,44945,R,2011-04-01 00:00:00+00:00
659,45658,R,2011-04-27 00:00:00+00:00
660,55347,R,2011-06-17 00:00:00+00:00
661,109417,PG-13,2013-09-21 00:00:00+00:00
662,50037,R,2011-09-24 00:00:00+00:00
663,68724,R,2013-08-09 00:00:00+00:00
664,109424,PG-13,2013-10-11 00:00:00+00:00
665,82696,PG-13,2012-08-07 00:00:00+00:00
666,74536,R,2011-11-04 00:00:00+00:00
667,38541,R,2011-03-13 00:00:00+00:00
668,38541,R,2011-03-13 00:00:00+00:00
669,41436,R,2010-10-21 00:00:00+00:00
670,123553,PG-13,2013-08-21 00:00:00+00:00
671,351211,R,2016-09-16 00:00:00+00:00
672,351211,R,2016-09-16 00:00:00+00:00
673,67913,R,2011-07-29 00:00:00+00:00
674,58882,PG-13,2011-07-15 00:00:00+00:00
675,44115,R,2010-11-05 00:00:00+00:00
676,54897,PG-13,2011-02-25 00:00:00+00:00
677,73935,PG-13,2012-11-02 00:00:00+00:00
678,73935,PG-13,2012-11-02 00:00:00+00:00
679,68202,,2011-06-29 00:00:00+00:00
680,49526,PG-13,2012-08-24 00:00:00+00:00
681,55420,PG-13,2011-01-24 00:00:00+00:00
682,76640,R,2013-01-12 00:00:00+00:00
683,55720,PG-13,2011-06-24 00:00:00+00:00
684,45272,PG-13,2010-12-22 00:00:00+00:00
685,457136,R,2018-11-15 00:00:00+00:00
686,457136,R,2018-11-15 00:00:00+00:00
687,109491,PG-13,2013-02-14 00:00:00+00:00
688,68722,R,2012-09-14 00:00:00+00:00
689,68722,R,2012-09-14 00:00:00+00:00
690,47546,PG,2010-07-06 00:00:00+00:00
691,76487,R,2012-01-06 00:00:00+00:00
692,50875,R,2011-08-26 00:00:00+00:00
693,72913,,2011-08-19 00:00:00+00:00
694,51828,PG-13,2011-08-19 00:00:00+00:00
695,51828,PG-13,2011-08-19 00:00:00+00:00
696,51828,PG-13,2011-08-19 00:00:00+00:00
697,454619,PG-13,2018-05-04 00:00:00+00:00
698,62837,PG,2011-09-23 00:00:00+00:00
699,42684,PG-13,2010-11-12 00:00:00+00:00
700,96399,R,2012-06-01 00:00:00+00:00
701,49527,PG-13,2012-01-27 00:00:00+00:00
702,80468,R,2012-10-05 00:00:00+00:00
703,65754,R,2011-12-14 00:00:00+00:00
704,57212,PG-13,2011-12-25 00:00:00+00:00
705,284568,,2013-12-01 00:00:00+00:00
706,284568,,2013-12-01 00:00:00+00:00
707,284568,,2013-12-01 00:00:00+00:00
708,284568,,2013-12-01 00:00:00+00:00
709,284568,,2013-12-01 00:00:00+00:00
710,47607,NR,2010-11-12 00:00:00+00:00
711,48231,R,2011-11-23 00:00:00+00:00
712,428078,PG-13,2019-02-19 00:00:00+00:00
713,244772,R,2014-01-18 00:00:00+00:00
714,76617,R,2013-01-04 00:00:00+00:00
715,58626,R,2011-04-03 00:00:00+00:00
716,327833,R,2014-11-07 00:00:00+00:00
717,327833,R,2014-11-07 00:00:00+00:00
718,44564,PG-13,2011-01-13 00:00:00+00:00
719,82505,PG-13,2012-09-21 00:00:00+00:00
